ASV,,098
CCT,,064
CEN,,034
CTM,,026
DAP,,024,This is not actually listed, but is needed - check with TMT
DHS,,XXX,Not found
DTN,,024
EUR,,XXX,Not found
FC1,,XXX,Not found
GFI,,089
GP1,,XXX,Not found
GRM,,021
GRT,,093
HLT,,078
HMT,,059
KAC,,119
KCC,,107
KCL,,XXX,Not found
KGM,,023
KLT,,040
KMA,,039
KMT,,114
KNI,,003
KNS,,XXX,Not found
KPH,,002
KPO,,001
KPP,,005
KSD,,067
KSH,,004
KUR,,006
KW1,,XXX,Not found
LPA,,066
LTR,,076
MCG,,XXX,Not found
MCL,,XXX,Not found
MGM,,111
MIL,,037
MLT,,XXX,Not found
MPR,,XXX,Not found
MTK,,045
MTQ,,087
MTR,,057
MWH,,097
NAR,,030
NCL,,XXX,Not found
NPR,,031
RET,,XXX,Not found
TJO,,120
TNE,,025
WAT,,117
ASV,X,099
DTN,E,049
DTN,F,
DTN,G,062
DTN,L,XXX,Not found
DTN,M,048
DTN,R,XXX,Not found
DTN,S,XXX,Not found
DTN,Z,XXX,Not found
KGM,A,XXX,Not found
KGM,E,069
KGM,G,061
KGM,P,XXX,Not found
KGM,S,118
KGM,T,XXX,Not found
LTR,A,XXX,Not found
MTQ,C,080
NAR,B,XXX,Not found
TNE,E,XXX,Not found
TNE,I,XXX,Not found
TNE,J,112
TNE,K,115
TNE,M,XXX,Not found
TNE,R,XXX,Not found
TNE,Z,XXX,Not found
