0701905000,1.10   ,Potatoes
0703101900,1.30   ,Onions
0703200000,1.40   ,Garlic
0705290000,1.120  ,Chicory
0708200010,1.170  ,Beans
0708200020,1.170  ,Beans
0708200080,1.170  ,Beans
0709200010,1.200.1,Asparagus
0709200090,1.200.2,Asparagus
0709601000,1.240  ,Sweet peppers
0714201000,1.270  ,Sweet potatoes
0804300090,2.30   ,Pineapples
0804400010,2.40   ,Avocados
0805102200,2.60.2 ,Oranges
0805102210,2.60.2 ,Oranges
0805102290,2.60.2 ,Oranges
0805211010,2.70.2 ,Satsumas
0805219011,2.70.3 ,Mandarins
0805219091,2.70.4 ,Tangerines
0805220020,2.70.1 ,Clementines
0805290011,2.70.3 ,Wilkings
0805290021,2.70.4 ,Minneolas
0805290091,2.70.4 ,Mandarins
0805400011,2.90.1 ,Grapefruit
0805400019,2.90.2 ,Grapefruit
0805400031,2.90.1 ,Pomelos
0805400039,2.90.2 ,Pomelos
0805509010,2.85   ,Limes
0806101005,2.100  ,Table grapes
0806101090,2.100  ,Table grapes
0807110000,2.110  ,Watermelons
0807190050,2.120.1,Melons
0807190090,2.120.2,Melons
0808101000,2.130  ,Cider apples
0808309010,2.140.1,Pears
0808309090,2.140.2,Pears
0809100000,2.190  ,Apricots
0809301000,2.180  ,Nectarines
0809309000,2.170  ,Peaches
0809400500,2.190  ,Plums
0810100000,2.200  ,Strawberries
0810201000,2.205  ,Raspberries
0808101000,2.130.0,Apples
0808108010,2.130.0,Apples
0808108020,2.130.0,Apples
0808108090,2.130.0,Apples
0809210000,2.160.0,Cherries
0809290000,2.160.0,Cherries
0709931000,1.50.0 ,Courgettes
0805501010,2.80   ,Lemons
0702000007,1.280  ,Tomatoes
0702000099,1.280  ,Tomatoes
